CHROM	bp	cM
chr5	6523079	36.120
chr5	6548518	36.120
chr5	6789560	36.418
chr5	6823151	36.418
chr5	6892977	36.717
chr5	6976745	36.717
chr5	7005013	37.015
chr5	7135301	37.015
chr5	7136126	37.021
chr5	7177758	37.460
chr5	7220897	37.612
chr5	7276300	37.612
chr5	7283761	37.796
chr5	7288439	37.931
chr5	7352978	38.209
chr5	7358317	38.209
chr5	7358603	38.210
chr5	7433351	38.711
chr5	7468436	38.806
chr5	7519380	38.806
chr5	7519695	38.808
chr5	7585617	39.152
chr5	7729383	39.852
chr5	7751375	39.867
chr5	7782937	41.681
chr5	7859357	41.735
chr5	7875561	42.045
chr5	7937968	42.090
chr5	8007104	42.090
chr5	8023052	42.147
chr5	8089620	42.984
chr5	8090132	42.986
chr5	8176057	42.986
chr5	8219614	43.284
chr5	8246999	43.284
chr5	8247096	43.287
chr5	8262505	44.055
chr5	8266299	44.469
chr5	8266604	44.478
chr5	8317728	44.478
chr5	8374937	44.777
chr5	8375353	44.777
chr5	8407256	45.075
chr5	8598985	45.075
chr5	8599150	45.076
chr5	8599174	45.076
chr5	8655346	45.857
chr5	8676728	46.041
chr5	8724875	46.269
chr5	8724891	46.269
chr5	8750867	46.568
chr5	8825109	46.568
chr5	8860831	46.866
chr5	8861107	46.866
chr5	8861217	46.867
chr5	8952204	47.761
chr5	8952274	47.762
chr5	9025218	48.060
chr5	9086407	48.060
chr5	9122975	48.359
chr5	9223731	48.359
chr5	9244664	48.956
chr5	9266544	48.956
chr5	9291456	49.254
chr5	9369551	49.254
chr5	9369588	49.255
chr5	9409272	49.851
chr5	9409305	49.851
chr5	9503004	49.851
chr5	9527472	50.150
chr5	9605280	50.150
chr5	9619782	50.747
chr5	9746692	50.747
chr5	9759645	51.045
chr5	9908586	51.045
chr6	0	0.000
chr6	742760	0.000
chr6	751038	0.299
chr6	778564	0.299
chr6	840737	0.597
chr6	975681	0.597
chr6	1012124	0.896
chr6	1013067	0.896
chr6	1036144	1.194
chr6	1158486	1.194
chr6	1182205	1.493
chr6	1182677	1.493
chr6	1182685	1.493
chr6	1284638	2.088
chr6	1285104	2.090
chr6	1321695	2.090
chr6	1342475	2.119
chr6	1364482	2.449
chr6	1477101	2.608
chr6	1532998	2.958
chr6	1538549	2.985
chr6	1576819	2.985
chr6	1674417	3.284
chr6	1686429	3.319
chr6	1700620	3.658
chr6	1706589	3.676
chr6	1722229	4.020
chr6	1777105	4.179
chr6	1891474	4.179
chr6	1899141	4.478
chr6	2029669	4.478
chr6	2030121	5.075
chr6	2218410	5.075
chr6	2241566	5.373
chr6	2408443	5.373
chr6	2408604	5.374
chr6	2499867	6.236
chr6	2511176	6.269
chr6	2642037	6.269
chr6	2712460	6.567
chr6	2713970	6.567
chr6	2779713	7.164
chr6	2780329	7.164
chr6	2784556	7.463
chr6	2892842	7.463
chr6	2892931	7.464
chr6	2919484	8.057
chr6	2919695	8.060
chr6	2989378	8.060
chr6	3008011	8.657
chr6	3019782	8.657
chr6	3064743	8.955
chr6	3090432	8.955
chr6	3149036	9.254
chr6	3219021	9.254
chr6	3245892	9.552
chr6	3246351	9.552
chr6	3334227	9.851
chr6	3508220	9.851
chr6	3511486	10.149
chr6	3565011	10.149
chr6	3589472	10.339
chr6	3603541	10.746
chr6	3603566	10.746
chr6	3701028	10.746
chr6	3744680	11.178
chr6	3791285	12.236
chr6	3791556	12.239
chr6	3875601	12.239
chr6	3875650	12.537
chr6	3959076	12.537
chr6	3972341	12.550
chr6	4033054	13.205
chr6	4127684	13.295
chr6	4163242	13.926
chr6	4218821	13.979
chr6	4272025	14.328
chr6	4272232	14.328
chr6	4307542	14.328
chr6	4329397	14.627
chr6	4329694	14.627
chr6	4340636	14.925
chr6	4474238	14.925
chr6	4493511	15.821
chr6	4560986	15.821
chr6	4622154	16.120
chr6	4659509	16.120
chr6	4695816	16.418
chr6	4696180	16.418
chr6	4794856	16.717
chr6	4849458	16.717
chr6	4852609	16.729
chr6	4922569	17.312
chr6	4922829	17.314
chr6	4973143	17.314
chr6	5087489	17.943
chr6	5087493	17.943
chr6	5179612	18.360
chr6	5223440	18.432
chr6	5269861	18.806
chr6	5269943	18.806
chr6	5371417	18.806
chr6	5371682	19.105
chr6	5375733	19.402
chr6	5375751	19.403
chr6	5375778	19.403
chr6	5442163	19.938
chr6	5459651	20.000
chr6	5511844	20.000
chr6	5512049	20.003
chr6	5549906	20.928
chr6	5550169	20.931
chr6	5580311	21.372
chr6	5600916	21.664
chr6	5616151	21.791
chr6	5638618	21.791
chr6	5683418	22.388
chr6	5837164	22.388
chr6	5887354	22.687
chr6	5959436	22.687
chr6	5975899	22.985
chr6	6182373	22.985
chr6	6194888	23.284
chr6	6256589	23.284
chr6	6419658	23.582
chr6	6726144	23.582
chr6	6740975	23.881
chr6	7048582	23.881
chr6	7100424	24.179
chr6	7123205	24.179
chr6	7176222	24.478
chr6	7395289	24.478
chr6	7458006	24.669
chr6	7493387	25.075
chr6	7493458	25.075
chr6	7493879	25.075
chr6	7494067	25.076
chr6	7494074	25.077
chr6	7496517	25.408
chr6	7552288	26.280
chr6	7638753	27.192
chr6	7649010	27.278
chr6	7670938	27.735
chr6	7673114	27.762
chr6	7873623	27.762
chr6	7927009	28.060
chr6	8293044	28.060
chr6	8387278	28.787
chr6	8391829	29.121
chr6	8447791	29.553
chr6	8455941	29.553
chr6	8457592	29.593
chr6	8480529	30.273
chr6	8513289	30.448
chr6	8532854	30.448
chr6	8584532	30.753
chr6	8620133	31.259
chr6	8620385	31.264
chr6	8684725	31.940
chr6	8684878	31.941
chr6	8685406	31.941
chr6	8759702	32.239
chr6	8778417	32.239
chr6	8820163	32.538
chr6	9005769	32.538
chr6	9013498	32.595
chr6	9018517	32.653
chr6	9077974	33.944
chr6	9082789	34.001
chr6	9086826	34.030
chr6	9089911	34.030
chr6	9090189	34.329
chr6	9091991	34.329
chr6	9112480	34.481
chr6	9172491	35.251
chr6	9222575	35.523
chr6	9230240	35.523
chr6	9370462	35.821
chr6	9377479	35.821
chr6	9468162	36.120
chr6	9544148	36.120
chr6	9555208	36.419
chr6	9569019	36.419
chr6	9606740	36.717
chr6	9607180	36.717
chr6	9672763	37.314
chr6	9787290	37.314
chr6	9817616	37.613
chr6	9963590	37.613
chr6	10013176	37.911
chr6	10027237	37.911
chr6	10063080	38.807
chr6	10066022	38.807
chr6	10073169	39.105
chr6	10111762	39.105
chr6	10209289	39.368
chr6	10222286	39.429
chr6	10222425	39.429
chr6	10247752	39.531
chr6	10363646	40.183
chr6	10363804	40.184
chr6	10364192	40.185
chr6	10383383	40.425
chr6	10391432	40.743
chr6	10394440	40.829
chr6	10436724	40.896
chr6	10436875	40.896
chr6	10452714	41.195
chr6	10600464	41.195
chr6	10661816	41.493
chr6	10668477	41.493
chr6	10702151	41.792
chr6	10717327	41.792
chr6	10768191	42.090
chr6	10829327	42.090
chr6	10837448	42.687
chr6	10979060	42.687
chr6	11009775	42.986
chr6	11396938	42.986
chr6	11594680	43.284
chr6	11755279	43.284
chr6	11795624	43.583
chr6	11897379	43.583
chr6	11912683	43.881
chr6	12022386	43.881
chr6	12074428	44.180
chr6	12074664	44.180
chr6	12085711	44.285
chr6	12106102	44.570
chr6	12151967	44.777
chr6	12171336	44.777
chr6	12272588	45.075
chr6	12499398	45.075
chr6	12725209	45.672
chr6	12917360	45.672
chr6	12949340	46.269
chr6	13040245	46.269
chr6	13061123	46.568
chr6	13124971	46.568
chr6	13161986	46.761
chr6	13181881	47.163
chr6	13182173	47.165
chr6	13356569	47.165
chr6	13367078	47.463
chr6	13563526	47.463
chr6	13579294	47.762
chr6	14054175	47.762
chr7	0	0.000
chr7	426470	0.000
chr7	426752	0.002
chr7	469350	0.409
chr7	469774	0.410
chr7	542097	0.895
chr7	542123	0.896
chr7	559452	0.896
chr7	634295	1.194
chr7	675908	1.493
chr7	726848	1.493
chr7	738478	1.791
chr7	890750	1.791
chr7	920800	2.090
chr7	977224	2.388
chr7	1006151	2.388
chr7	1012932	2.461
chr7	1013096	3.059
chr7	1034046	3.284
chr7	1171592	3.284
chr7	1185897	3.349
chr7	1237370	3.644
chr7	1371229	3.804
chr7	1435271	4.179
chr7	1435368	4.179
chr7	1554152	4.179
chr7	1585304	4.478
chr7	1585553	4.478
chr7	1665824	4.776
chr7	1666106	4.777
chr7	1692435	4.945
chr7	1723677	5.443
chr7	1748591	5.602
chr7	1773898	5.672
chr7	1801961	5.672
chr7	1886433	5.970
chr7	1967586	5.970
chr7	2031048	6.109
chr7	2104074	6.464
chr7	2142957	6.567
chr7	2143298	6.567
chr7	2143690	6.570
chr7	2189878	7.164
chr7	2189968	7.164
chr7	2269868	7.164
chr7	2269903	7.165
chr7	2289061	7.761
chr7	2289090	7.761
chr7	2289381	7.761
chr7	2305183	7.818
chr7	2325004	8.188
chr7	2325343	8.189
chr7	2325391	8.189
chr7	2372663	8.721
chr7	2394034	8.885
chr7	2415130	8.955
chr7	2415674	8.955
chr7	2428491	9.042
chr7	2459842	9.549
chr7	2460222	9.552
chr7	2497838	9.552
chr7	2524119	9.851
chr7	2524251	9.851
chr7	2582889	10.149
chr7	2587939	10.149
chr7	2588005	10.150
chr7	2657946	10.710
chr7	2735952	11.003
chr7	2747190	11.330
chr7	2747194	11.330
chr7	2747713	11.346
chr7	2771737	11.465
chr7	2807174	11.940
chr7	2807328	11.941
chr7	2910835	11.941
chr7	3039517	12.239
chr7	3040183	12.239
chr7	3065430	12.538
chr7	3069255	12.538
chr7	3096949	12.836
chr7	3173334	12.836
chr7	3227042	13.135
chr7	3232371	13.135
chr7	3307045	13.350
chr7	3349326	13.613
chr7	3392133	14.178
chr7	3396484	14.205
chr7	3439124	14.329
chr7	3753443	14.329
chr7	3770996	14.627
chr7	4202594	14.627
chr7	4271815	14.821
chr7	4276342	15.132
chr7	4309133	15.224
chr7	4411363	15.224
chr7	4452320	15.523
chr7	4494158	15.523
chr7	4494390	15.526
chr7	4567425	16.848
chr7	4579361	17.015
chr7	4579723	17.015
chr7	4611266	17.314
chr7	4611555	17.314
chr7	4618893	17.612
chr7	4805682	17.612
chr7	4822600	18.209
chr7	5050587	18.209
chr7	5189911	18.806
chr7	5306036	18.806
chr7	5333545	19.105
chr7	5392484	19.105
chr7	5435202	19.403
chr7	5435570	19.403
chr7	5457040	19.702
chr7	5478740	19.702
chr7	5496687	20.000
chr7	5585330	20.000
chr7	5592677	20.299
chr7	5593333	20.299
chr7	5661223	20.597
chr7	5809842	20.597
chr7	5810534	20.603
chr7	5833039	21.101
chr7	5843518	21.194
chr7	5843780	21.194
chr7	5930681	21.377
chr7	5985486	21.597
chr7	6087430	21.791
chr7	6123924	21.791
chr7	6160322	22.985
chr7	6204873	22.985
chr7	6205264	22.987
chr7	6240596	23.525
chr7	6259145	23.910
chr7	6348397	24.775
chr7	6348761	24.776
chr7	6348792	24.776
chr7	6459334	25.075
chr7	6460447	25.075
chr7	6488549	25.328
chr7	6493553	25.476
chr7	6503184	25.672
chr7	6503388	25.672
chr7	6581658	26.568
chr7	6581999	26.568
chr7	6624307	26.866
chr7	6753822	26.866
chr7	6767654	27.165
chr7	6767866	27.165
chr7	6768177	27.170
chr7	6804114	28.358
chr7	6804136	28.359
chr7	7021517	28.359
chr7	7052192	28.657
chr7	7083578	28.657
chr7	7192718	29.553
chr7	7343003	29.553
chr7	7349210	29.607
chr7	7377225	29.986
chr7	7411156	30.150
chr7	7411495	30.150
chr7	7465356	30.448
chr7	7933985	30.448
chr7	7967954	30.747
chr7	8014437	30.747
chr7	8040111	31.045
chr7	8226610	31.045
chr7	8343222	31.344
chr7	8479203	31.344
chr7	8526744	31.642
chr7	8988885	31.642
chr7	9069667	31.941
chr7	9551387	31.941
chr7	9551549	31.942
chr7	9565853	32.085
chr7	9629888	33.050
chr7	9674917	33.385
chr7	9684469	33.433
chr7	9782642	33.433
chr7	9799030	33.612
chr7	9810042	34.029
chr7	9810091	34.030
chr7	9859212	34.030
chr7	9891228	34.126
chr7	9959299	34.626
chr7	9959620	34.627
chr7	9967801	34.627
chr7	10015175	35.224
chr7	10015590	35.224
chr7	10036923	35.523
chr7	10040902	35.523
chr7	10099573	35.821
chr7	10106762	35.821
chr7	10128200	36.120
chr7	10189809	36.120
chr7	10193719	36.128
chr7	10197198	36.433
chr7	10197199	36.433
chr7	10278995	36.896
chr7	10395484	37.130
chr7	10466065	37.570
chr7	10487387	37.612
chr7	10487956	37.612
chr7	10540213	38.209
chr7	10605506	38.209
chr7	10605580	38.210
chr7	10639952	39.156
chr7	10644183	39.355
chr7	10655107	39.701
chr7	10655156	39.702
chr7	10687241	39.702
chr7	10696516	40.001
chr7	10696854	40.001
chr7	10719621	40.173
chr7	10719760	40.176
chr7	10747973	40.735
chr7	10775494	40.990
chr7	10896246	41.195
chr7	10896252	41.195
chr7	10917529	41.493
chr7	10926907	41.493
chr7	10965208	41.792
chr7	11075437	41.792
chr7	11155060	42.090
chr7	11188021	42.090
chr7	11209102	42.137
chr7	11323250	42.985
chr7	11323480	42.986
chr7	11323562	42.986
chr7	11330693	43.583
chr7	11425764	43.583
chr7	11437989	43.745
chr7	11448251	43.997
chr7	11456965	44.095
chr7	11464537	44.280
chr7	11479559	44.478
chr7	11479586	44.478
chr7	11550697	44.777
chr7	11555254	44.777
chr7	11580575	45.075
chr7	11624566	45.075
chr7	11649670	45.374
chr7	11664580	45.374
chr7	11669094	45.448
chr7	11700991	46.251
chr7	11703059	46.304
chr7	11719054	46.568
chr7	11891562	46.568
chr7	11921840	46.866
chr7	12171205	46.866
chr7	12171552	46.867
chr7	12191773	46.975
chr7	12259319	47.632
chr7	12279789	47.897
chr7	12288324	47.984
chr7	12298319	48.060
chr7	12359104	48.060
chr7	12361962	48.359
chr7	12366821	48.359
chr7	12366916	48.359
chr7	12425436	48.955
chr7	12425620	48.956
chr7	12492559	48.956
chr7	12513741	49.255
chr7	12711710	49.255
chr7	12819446	49.852
chr7	12954627	49.852
chr7	12985305	50.150
chr7	13097340	50.150
chr7	13165920	50.747
chr7	13166398	50.747
chr7	13327367	51.046
chr7	13392312	51.046
chr7	13399290	51.098
chr7	13471468	52.070
chr7	13510712	52.303
chr7	13535961	52.751
chr7	13600703	53.135
chr7	13601252	53.135
chr7	13646121	53.434
chr7	13734640	53.434
chr7	13770032	53.732
chr7	14308859	53.732
chr8	0	0.000
chr8	193799	0.000
chr8	200954	0.299
chr8	410732	0.299
chr8	425534	0.597
chr8	468240	0.597
chr8	487273	0.896
chr8	495743	0.896
chr8	509585	0.934
chr8	591071	1.462
chr8	601896	1.493
chr8	602579	1.493
chr8	618370	2.089
chr8	618397	2.090
chr8	653983	2.388
chr8	654658	2.388
chr8	682650	2.891
chr8	687871	3.015
chr8	751102	3.382
chr8	888794	4.548
chr8	889414	4.550
chr8	954424	5.023
chr8	973731	5.075
chr8	992305	5.075
chr8	1030405	5.373
chr8	1078611	5.373
chr8	1232110	5.815
chr8	1306941	6.329
chr8	1389796	6.567
chr8	1404343	6.567
chr8	1438193	6.866
chr8	1474646	6.866
chr8	1480772	6.896
chr8	1540451	7.792
chr8	1594029	8.060
chr8	1784466	8.060
chr8	1822889	8.358
chr8	1823171	8.358
chr8	1879277	8.657
chr8	1879321	8.657
chr8	1901526	8.955
chr8	1907398	8.955
chr8	1913342	9.254
chr8	2008230	9.254
chr8	2071196	9.552
chr8	2143988	9.552
chr8	2153963	9.851
chr8	2233228	9.851
chr8	2252925	10.149
chr8	2281466	10.149
chr8	2302085	10.212
chr8	2329516	10.342
chr8	2379397	10.795
chr8	2398346	10.909
chr8	2453873	11.003
chr8	2545611	11.456
chr8	2577058	11.509
chr8	2591648	11.647
chr8	2615489	11.939
chr8	2700052	12.314
chr8	2718645	12.346
chr8	2731201	12.944
chr8	2731624	12.969
chr8	2761815	13.314
chr8	2908980	13.563
chr8	2970643	13.966
chr8	3104662	14.192
chr8	3203132	14.955
chr8	3251060	15.036
chr8	3279120	15.382
chr8	3294481	15.707
chr8	3295018	15.708
chr8	3308665	15.797
chr8	3356577	16.408
chr8	3356600	16.409
chr8	3368514	16.727
chr8	3440499	17.095
chr8	3456012	17.469
chr8	3456172	17.472
chr8	3525671	17.590
chr8	3580429	17.981
chr8	3633559	18.071
chr8	3659316	18.413
chr8	3817365	18.680
chr8	3843100	19.022
chr8	3926517	19.163
chr8	3950169	19.501
chr8	4068959	19.702
chr8	4075558	19.702
chr8	4126939	20.000
chr8	4200294	20.000
chr8	4200311	20.001
chr8	4233691	21.191
chr8	4233815	21.194
chr8	4379883	21.194
chr8	4391062	21.791
chr8	4477711	21.791
chr8	4522246	22.090
chr8	4676445	22.090
chr8	4725268	22.388
chr8	4746998	22.388
chr8	4748864	22.687
chr8	4748902	22.687
chr8	4779884	23.284
chr8	4896040	23.284
chr8	4917171	23.582
chr8	4935175	23.582
chr8	4935557	23.583
chr8	4971692	24.090
chr8	4987364	24.784
chr8	5021079	25.887
chr8	5054389	25.971
chr8	5149589	25.971
chr8	5234453	26.269
chr8	5300605	26.269
chr8	5374088	26.568
chr8	5374123	26.568
chr8	5404019	26.866
chr8	5789125	26.866
chr8	5793849	27.165
chr8	5863041	27.165
chr8	5863189	27.165
chr8	5936612	27.901
chr8	6013518	28.359
chr8	6019873	28.359
chr8	6028551	28.402
chr8	6079712	28.888
chr8	6094699	28.956
chr8	6161674	28.956
chr8	6208138	29.553
chr8	6341923	29.553
chr8	6342254	29.851
chr8	6409912	29.851
chr8	6410281	30.150
chr8	6531960	30.448
chr8	6557108	30.448
chr8	6557450	31.344
chr8	6621727	31.344
chr8	6630336	31.642
chr8	6645815	31.941
chr8	6645929	31.941
chr8	6698275	32.239
chr8	6845600	32.239
chr8	6870037	32.538
chr8	6897488	32.538
chr8	6907614	32.836
chr8	6908282	32.836
chr8	6908367	33.135
chr8	6955581	33.135
chr8	6955876	33.136
chr8	7032887	33.731
chr8	7033182	33.732
chr8	7071604	33.732
chr8	7118256	34.030
chr8	7186129	34.926
chr8	7261242	34.926
chr8	7362276	35.638
chr8	7388227	35.991
chr8	7407957	36.120
chr8	7459010	36.120
chr8	7459094	36.122
chr8	7468690	36.789
chr8	7474558	37.015
chr8	7548713	37.015
chr8	7564987	37.314
chr8	7610752	37.314
chr8	7670662	37.612
chr8	7670996	37.612
chr8	7704908	38.209
chr8	7741656	38.209
chr8	7770724	38.508
chr8	7771508	38.508
chr8	7771518	38.508
chr8	7792064	38.697
chr8	7901285	39.842
chr8	7990059	39.956
chr8	8024685	40.299
chr8	8024880	40.299
chr8	8035004	40.299
chr8	8035175	40.300
chr8	8148594	41.790
chr8	8148799	41.792
chr8	8148830	41.792
chr8	8161319	42.004
chr8	8166344	42.385
chr8	8166404	42.389
chr8	8183223	42.389
chr8	8183228	42.389
chr8	8212067	43.266
chr8	8213895	43.284
chr8	8295125	43.284
chr8	8295153	43.285
chr8	8295214	43.286
chr8	8319364	44.178
chr8	8319420	44.179
chr8	8319450	44.180
chr8	8320198	44.180
chr8	8326293	44.228
chr8	8372753	45.192
chr8	8372898	45.194
chr8	8395697	45.582
chr8	8396404	45.589
chr8	8438151	46.563
chr8	8438486	46.612
chr8	8440450	46.867
chr8	8441100	46.867
chr8	8451941	47.165
chr8	8463016	47.165
chr8	8463249	47.464
chr8	8597183	47.464
chr8	8623185	47.515
chr8	8674101	47.913
chr8	8748864	48.061
chr8	8802261	48.061
chr8	8802331	48.063
chr8	8811009	48.647
chr8	8811344	48.658
chr8	8901427	48.658
chr8	8920130	48.956
chr8	9062849	48.956
chr8	9077364	49.255
chr8	9320449	49.255
chr9	0	0.000
chr9	255639	0.000
chr9	256015	0.003
chr9	303392	0.679
chr9	303830	0.683
chr9	318143	1.095
chr9	330511	1.194
chr9	351611	1.493
chr9	359084	1.493
chr9	361963	1.553
chr9	373260	1.937
chr9	385094	2.090
chr9	385429	2.090
chr9	499312	2.388
chr9	671392	2.388
chr9	703429	2.687
chr9	770973	2.687
chr9	826521	2.985
chr9	876022	2.985
chr9	952361	3.284
chr9	1007761	3.284
chr9	1007927	3.582
chr9	1052384	3.582
chr9	1058892	3.881
chr9	1059556	3.881
chr9	1059617	3.881
chr9	1084100	4.364
chr9	1099110	4.478
chr9	1105622	4.478
chr9	1105828	4.479
chr9	1105967	4.778
chr9	1163533	5.075
chr9	1181059	5.075
chr9	1224066	5.373
chr9	1224525	5.373
chr9	1228757	5.672
chr9	1238375	5.672
chr9	1264112	5.908
chr9	1270878	6.039
chr9	1314539	6.479
chr9	1352827	7.130
chr9	1352838	7.130
chr9	1357678	7.462
chr9	1357789	7.463
chr9	1358152	7.463
chr9	1358474	7.464
chr9	1425673	7.913
chr9	1491300	8.060
chr9	1491762	8.060
chr9	1530053	8.210
chr9	1534350	8.525
chr9	1548412	8.580
chr9	1568091	8.701
chr9	1681201	8.955
chr9	1716037	8.955
chr9	1724667	9.254
chr9	1772147	9.851
chr9	1781069	9.851
chr9	1798852	9.984
chr9	1821003	10.448
chr9	1821038	10.448
chr9	1868107	10.448
chr9	1895018	10.745
chr9	1949320	11.434
chr9	1985913	11.495
chr9	2032481	11.871
chr9	2048828	11.898
chr9	2070135	12.232
chr9	2074209	12.239
chr9	2154988	12.239
chr9	2155057	12.239
chr9	2217035	12.802
chr9	2225033	12.836
chr9	2225049	12.836
chr9	2225254	12.837
chr9	2398081	13.731
chr9	2398273	13.732
chr9	2398282	13.732
chr9	2398294	13.732
chr9	2420067	14.231
chr9	2430708	14.329
chr9	2515292	14.329
chr9	2519736	14.627
chr9	2545347	14.627
chr9	2568338	14.926
chr9	2730485	14.926
chr9	2775911	15.260
chr9	2789532	15.659
chr9	2789557	15.659
chr9	2789869	15.662
chr9	2897350	17.527
chr9	2933365	17.852
chr9	2933447	17.852
chr9	2968743	18.208
chr9	2968837	18.209
chr9	3056859	18.209
chr9	3117205	18.508
chr9	3159786	18.508
chr9	3249534	18.806
chr9	3255449	18.806
chr9	3329152	19.105
chr9	3514832	19.105
chr9	3535568	19.403
chr9	3600905	19.403
chr9	3664628	19.596
chr9	3699842	19.805
chr9	3700390	19.806
chr9	3838901	20.809
chr9	3868749	20.896
chr9	3992322	20.896
chr9	3992449	20.898
chr9	4000094	21.302
chr9	4013837	21.493
chr9	4064874	21.493
chr9	4112629	21.791
chr9	4184545	21.791
chr9	4238470	22.090
chr9	4258920	22.388
chr9	4347384	22.388
chr9	4458366	22.577
chr9	4469780	22.747
chr9	4481000	22.981
chr9	4522777	23.299
chr9	4570527	23.582
chr9	4749985	23.582
chr9	4750351	23.881
chr9	4839050	23.881
chr9	4839053	23.881
chr9	4890411	25.949
chr9	4891141	26.268
chr9	4891164	26.269
chr9	4962407	26.269
chr9	5024300	26.866
chr9	5024354	26.866
chr9	5250368	26.866
chr9	5250713	26.869
chr9	5287614	27.289
chr9	5296491	27.319
chr9	5427852	28.059
chr9	5428108	28.060
chr9	5470090	28.060
chr9	5537003	28.359
chr9	5584322	28.359
chr9	5616010	28.956
chr9	5616375	28.956
chr9	5616427	28.956
chr9	5660590	29.550
chr9	5661004	29.553
chr9	5661373	29.553
chr9	5709201	29.851
chr9	5786531	29.851
chr9	5810230	30.150
chr9	5844354	30.150
chr9	5850432	30.210
chr9	5855310	30.382
chr9	5874207	31.206
chr9	5874243	31.207
chr9	5890269	31.344
chr9	5932498	31.344
chr9	5932721	31.413
chr9	5934431	32.047
chr9	5937539	32.240
chr9	5937714	32.240
chr9	5937731	32.240
chr9	5951733	33.133
chr9	5951837	33.135
chr9	6071038	33.135
chr9	6136161	33.394
chr9	6197313	34.104
chr9	6214323	34.371
chr9	6221274	34.427
chr9	6270460	34.628
chr9	6365893	34.628
chr9	6409059	35.225
chr9	6532292	35.225
chr9	6558327	35.318
chr9	6558449	35.319
chr9	6589189	35.793
chr9	6615861	35.947
chr9	6695754	36.120
chr9	6724854	36.120
chr9	6734840	36.192
chr9	6734849	36.192
chr9	6766483	37.126
chr9	6774292	37.300
chr9	6776235	37.315
chr9	6871857	37.315
chr9	6879808	37.370
chr9	6914769	37.720
chr9	6977321	37.912
chr9	7016020	37.912
chr9	7016024	37.912
chr9	7052257	38.785
chr9	7052951	38.796
chr9	7128901	40.425
chr9	7157590	40.585
chr9	7159873	40.605
chr9	7170054	40.638
chr9	7345941	41.494
chr9	7372072	41.494
chr9	7396205	41.792
chr9	7522340	41.792
chr9	7599936	42.091
chr9	7603875	42.091
chr9	7663703	42.389
chr9	7677946	42.688
chr9	7693059	42.688
chr9	7714213	42.986
chr9	7739711	43.285
chr9	7834256	43.285
chr9	7889172	43.583
chr9	7924602	43.583
chr9	7942402	43.696
chr9	7971521	43.974
chr9	8036272	44.180
chr9	8036474	44.180
chr9	8046789	44.479
chr9	8100148	44.479
chr9	8122943	44.777
chr9	8123741	44.777
chr9	8125672	45.076
chr9	8125847	45.076
chr9	8147430	45.374
chr9	8178928	45.374
chr9	8224148	45.568
chr9	8248781	45.965
chr9	8249306	45.971
chr9	8499161	45.971
chr9	8513648	46.270
chr9	8708747	46.270
chr10	0	0.000
chr10	414041	0.000
chr10	559900	0.299
chr10	560040	0.299
chr10	620276	0.597
chr10	847245	0.597
chr10	917040	0.896
chr10	1174511	0.896
chr10	1244303	1.194
chr10	1667910	1.194
chr10	1704403	1.493
chr10	1748847	1.493
chr10	1862613	1.791
chr10	1862962	1.791
chr10	1917731	2.090
chr10	1932794	2.090
chr10	1967643	2.181
chr10	1972786	2.493
chr10	2011139	2.593
chr10	2047028	2.904
chr10	2060486	2.985
chr10	2148452	2.985
chr10	2209239	3.284
chr10	2232213	3.284
chr10	2289712	3.881
chr10	2372832	3.881
chr10	2416146	4.179
chr10	2431564	4.179
chr10	2453625	4.281
chr10	2454092	4.880
chr10	2454199	4.880
chr10	2506923	5.720
chr10	2561280	5.970
chr10	2575674	5.970
chr10	2671480	7.463
chr10	2695614	7.644
chr10	2711192	8.059
chr10	2711288	8.060
chr10	2841554	8.060
chr10	2872119	8.657
chr10	2872326	8.657
chr10	2945997	9.026
chr10	3014074	9.666
chr10	3051001	9.851
chr10	3156169	9.851
chr10	3168319	10.448
chr10	3264012	10.448
chr10	3290980	10.680
chr10	3307697	11.087
chr10	3328975	11.554
chr10	3336972	11.604
chr10	3374514	11.985
chr10	3414082	12.208
chr10	3431152	12.239
chr10	3554637	12.239
chr10	3590069	12.537
chr10	3590197	12.537
chr10	3639834	12.700
chr10	3681086	14.033
chr10	3701575	14.627
chr10	3748854	14.627
chr10	3759209	14.926
chr10	3807608	15.224
chr10	3829871	15.224
chr10	3829913	15.523
chr10	3860275	15.523
chr10	3910923	15.821
chr10	3937487	15.821
chr10	3974049	16.277
chr10	3985348	17.013
chr10	3985386	17.015
chr10	4013016	17.015
chr10	4077354	17.314
chr10	4089712	17.314
chr10	4156453	17.612
chr10	4306602	17.612
chr10	4306668	17.612
chr10	4316101	17.941
chr10	4399068	18.209
chr10	4443539	18.209
chr10	4515615	18.508
chr10	4520408	18.508
chr10	4538656	19.105
chr10	4612052	19.105
chr10	4624512	19.403
chr10	4737069	19.403
chr10	4876002	19.702
chr10	4876022	19.702
chr10	4876471	19.705
chr10	4910097	20.264
chr10	4914587	20.299
chr10	4932447	20.299
chr10	4940580	20.597
chr10	5089720	20.597
chr10	5162569	20.896
chr10	5241073	20.896
chr10	5298508	21.194
chr10	5311144	21.194
chr10	5326380	21.493
chr10	5451175	21.493
chr10	5489951	21.528
chr10	5604396	22.527
chr10	5604405	22.825
chr10	5619061	22.839
chr10	5645554	23.086
chr10	5663376	23.551
chr10	5663554	23.552
chr10	5752514	24.979
chr10	5760749	25.056
chr10	5781316	25.075
chr10	5785714	25.075
chr10	5808705	25.672
chr10	5808854	25.672
chr10	5857482	25.769
chr10	5891678	26.136
